aid	bvid	created	title	length	description	play	comment	review	coin	danmaku	favorite	like	reply	share
79760545	BV1EJ411t7wp	1576675510	骁话一下：为什么西方总想搞乱新疆？	16:02	12月4日，美国通过“涉疆法案”，粗暴干涉我国内政，抹黑我国去极端化和打击恐怖主义的努力。新疆从汉代就是我国领土，近代以来我国积贫积弱，帝国主义侵门踏户，给新疆种下大量动荡的种子。到了今天，在中美博弈的大环境下，西方列强再一次露出獠牙，试图炒作新疆话题，本期《骁话一下》，咱就来聊聊为什么境外势力那么“关心”新疆？	1608639	3490	18724	22895	18729	13515	68770	3490	3813
66825069	BV1P441117e1	1567823413	骁话一下：“杀鸡取卵”的工会如何让美国工业走向了衰落？	10:29	最近奥巴马资助的纪录片《美国工厂》引发了一次互联网讨论热潮。影片围绕着中国投资方和美国劳工间矛盾展开，该片核心议题在于是否要在中资工厂中引入美国最大工会之一的全美汽车工人联合会。好巧不巧，影片上映几天就曝出新闻，美国联邦调查局突袭联合会主席家，查出极其严重的腐败行为。美国工会有多厉害？美国去工业化进程中，工会扮演了怎样的角色？又是如何衰落至今？本期《骁话一下》我们就聊聊杀鸡取卵的美国工会	565461	3249	5286	8134	5286	6030	25010	3249	2423
56324933	BV1i441137Y4	1561170637	骁话一下：埃及如何将黄金开局玩得山穷水尽	07:49	埃及创造了最早的人类文明，却屡屡遭到外国侵略者的压迫。近代以来，社会精英奋起反抗帝国主义，以民族主义精神带领埃及独立运动，并且一度成为大阿拉伯世界的领袖，可以说国际环境非常顺风顺水。但是德不配位和滥用福利政策贿赂人民却给埃及埋下了悲剧的种子。本期《骁话一下》，我们就讲讲，埃及如何用黄金开局打废发展的游戏。	1100196	2454	5623	5636	5624	5938	29819	2454	960
65041939	BV1u4411r7T5	1566613856	骁话一下：从卖鸦片到包租公，殖民资本对香港畸形经济做了哪些“贡献”？	11:19	香港动乱的底层原因是社会极度不公，而这和殖民地大资本垄断香港经济有着密不可分的关系。在围绕着西方打压中国，陷害中国人这件事情上，从香港起家发展出来的英资一直扮演着非常不光彩的角色。和内地信仰的实业经济创造富豪不同，港英资本更喜欢通过政策变成“收租王”，他们最希望的就是通过殖民政策，保持现状，大发横财。	578130	2377	5170	13216	5170	9337	31184	2377	8332
285031469	BV1Kc411h7Qg	1585361800	骁话一下：政府无视新冠疫情，黑帮带头封城隔离，巴西怎么了？	11:49	2020.03.28，《骁话一下》第81期，巴 西 黑 帮 王 国。 3月24日晚，由于不满政府防疫工作效率低下，巴西里约州的黑帮武装向当地各社区居民发布“禁令”，要求居民不要随便出门，这种政府不管死活，黑帮带头抗疫的迷惑新闻把很多人逗乐了。如今治安差、黑帮多和贫民窟遍地已经成为巴西的名片，那么巴西到底是怎样的社会、经济和政治问题导致了这样的状况呢？本期#骁话一下#我们就聊聊巴西的黑帮王国。 视频中提到的往期传送门【BV1KJ411N7od 巴西怎么就混成了板儿砖】	2629317	10275	38840	192213	38842	52600	315947	10275	20420
98065496	BV1iE411c7tD	1584760457	骁话一下：塞尔维亚曾是世界第七工业国，为何如今总统含泪求援中国	13:58	新冠疫情在塞尔维亚暴发，总统含泪向中国求援。这个国家的前身是曾经的社会主义兄弟南斯拉夫，经济发达，一度是世界第七工业国，文化昌盛，电影小说风靡中国。然而在投机政客的操纵，和极端民族主义的裹挟下，这个强国最终走向分崩离析，其内战还牵连到了中国，成为我们的伤心地。本期#骁话一下# 我们就聊聊塞尔维亚的民族主义之殇。	2125424	4530	30662	145087	30666	37726	246215	4529	9007
77543434	BV1XJ411Q7Ce	1575101133	骁话一下：9102年了还搞“殖民主义”，法国是怎么榨取西非的	12:59	11月25日，法国两架直升机在马里北部打击武装分子行动中发生事故，13名法国士兵死亡。对非洲不了解的朋友可能就纳闷了，法国为什么要去马里打击武装分子？其实西非曾经就是法国的殖民地，但直到今日法国依旧对其保持了强大的控制能力。英法曾经同为老牌帝国主义，但是他们保持对前殖民地地区影响的方式却大相径庭。为什么？怎么做到的？本期《骁话一下》就聊聊法国如何统治西非。	800109	2171	7583	23358	7583	9954	46234	2171	2287
49900411	BV1Mb411V7js	1555745221	骁话一下：8年换5套政府，巴黎圣母院大火点燃法国悲惨世界	09:43	巴黎圣母院大火登上各大媒体版面，世界哗然。作为集西方文明大成的地标遭遇火灾，在震惊和遗憾的同时，我们还要究其原因。本期我们就从建筑，政治和社会三个方面聊聊，为什么巴黎圣母院难逃此劫。	577812	1560	4004	4057	4005	3599	17276	1560	690
35349031	BV1Pb411A7pZ	1541397283	美国限制了哪些产品出口中国，而中国又做了什么？	04:27	人人有钱赚，世界和平就能往前推进一大步。中国想和世界做生意，但美国却常把赚钱的事儿弄得很对抗。本期我们就《骁话一下》，美国都限制了哪些产品出口中国，而中国又做了什么？	307136	826	769	987	769	1469	5465	826	149
285306838	BV1df4y1U7Ex	1587177043	骁话一下：GDP增速超7，越南要赶超中国当世界工厂了？	16:30	《骁话一下》第86期，隆重介绍自诩小中华，心系东南亚，越·东南亚小霸王·南。	1745865	9164	57441	58470	57479	17948	165933	9166	5171
55576675	BV174411V7nq	1560565840	骁话一下：用国家之力打企业，美国70年前干过，而且失败了	07:41	美国为了维护其霸主地位，经常会干涉它国的经济建设和经济制度，保证有潜力的国家不会成为威胁。在第二次世界大战之后，美国就曾试图通过肢解德国工业是其丧失再度崛起的能力，但事实证明现代产业分工合作之复杂不是一厢情愿就可以破坏的，德国在美国的重压之下依旧成长成为欧洲的工业首强。本期《骁话一下》我们就聊聊为什么蛮力杀不死现代企业。	608748	1825	2112	4261	2112	3790	18088	1825	624
64964757	BV1g4411R71K	1566526872	骁话一下：不理性很精分的澳大利亚	09:11	以前澳大利亚在我们心目中是一个无害的国家，阳光、沙滩、袋鼠、牛肉、羊毛、铁矿，很美好，但这些年却越来越充满敌意。个人恩怨方面霍顿挑衅孙杨，国家层面澳大利亚政府炒作“中国威胁论”。为什么会出现这样的转变呢？本期《骁话一下》我们从澳大利亚的历史中去寻找原因，聊聊不理性很精分的澳大利亚。	708551	2180	5589	6940	5594	4835	30768	2182	1396
86139128	BV1p7411x74U	1580558695	骁话一下：飞速发展的武汉碰上了快速传播的病毒，撞出哪些问题	12:30	疫情防护关键期，全世界都在盯着武汉。这座“英雄城市”，在辉煌的中国历史中不可或缺，在现在是中国第一交通枢纽，每年运1.2亿人次。它又是地区中心城市，经济高速发展，十年增长近400%，吸引大量外来务工者，人口超1100万，但此次疫情也揭开武汉高速发展中的问题，本期#骁话一下#就聊聊九省通衢的防疫战。	698207	2444	6823	26262	6825	9276	49857	2445	6491
39907637	BV1Et411x7yj	1546603015	骁话一下：2019年世界即将发生哪些大事儿？	07:32	2019年，世界依旧热闹，我们来为大家做个目录，预习那些即将在2019年发生的事情。	205879	732	2483	1980	2483	1805	6439	732	396
52029317	BV1e4411Y7i1	1557541811	骁话一下：谋财又害命，政府都不是对手，邪教在美国的生存之道	11:03	1950年代，三流科幻小说家贺伯特成立“山达基教”，用一套民科心理学理论和一个科幻故事开始了敛财之路。他们精神奴役大量教徒做苦役，甚至限制人身自由。纵使如此，美国政府却无能为力，甚至连好莱坞巨星汤姆克鲁斯都被他们牢牢掌握。美国从建国起就将法治和宗教自由视为其核心价值观，但是这两条却恰恰被大量邪教利用成为自己的保护伞。本期《骁话一下》，我们就说说“山达基教”。	784816	870	869	10263	869	7010	31342	870	3024
78375326	BV1gJ411q7Vt	1575707404	骁话一下：想搞乱中国又不想直接出面，扒一扒美国政府这些白手套	13:53	我们出手了！12月2日，我国宣布制裁美国国家民主基金会等多家NGO，这些NGO在世界各地骚乱暴动中频频出现，这次香港风波中也没少捣鬼。它们号称非政府，却拿着政府经费，号称独立，又总充当扰乱外国稳定的急先锋。它们到底是什么？在干什么？本期《骁话一下》就聊聊劣迹斑斑的NGO。	1146124	2420	12637	18176	12640	10141	51677	2420	4281
61904652	BV1Vt411u79i	1564799424	骁话一下：特朗普狂喷巴尔的摩，这座革命老区为何沦落至今？	07:49	特朗普推特战群儒，疯狂吐槽巴尔的摩“老鼠横行”、“肮脏贫穷”、“美国最差”。不少该市出身的名人反击特朗普，CNN主持人甚至情到深处一度哽咽。巴尔的摩是美国的革命老区，短暂做过首都，是美国国歌诞生地，曾是美国工业中心之一，但今天的巴尔的摩就是美国最危险的城市之一。发生了什么？本期《骁话一下》我们就聊聊，巴尔的摩的赛博朋克。	567518	3035	4110	5589	4110	3810	22126	3036	1234
50532318	BV1s4411h72i	1556332204	骁话一下：从强大的工业国混成经济崩溃，乌克兰在线教你如何作死	08:19	乌克兰总统大选，谐星胜利，让乌克兰的政治真的变成了无厘头戏剧。乌克兰在苏联时期是非常强大的工业经济体，苏联解体后乌克兰也分到了大量的优质家产。而今天的乌克兰，政治不稳定，政策多变，经济凋敝，内战汹涌，一心向欧盟靠拢，却得不到垂青。今天我们就聊聊不作就不会死的乌克兰。	1056590	3403	5495	6525	5496	7205	26932	3404	1872
32085969	BV1wW411r7pp	1537422082	骁话一下：芝加哥是如何成长为美国现代黑帮之都的？	07:11	有句俗语，黑人在两个地方最危险，一个是娘胎（高堕胎率），另一个就是芝加哥。那芝加哥是如何一步步成长为美国现代黑帮之都的？这背后的原因，恐怕跟简单粗暴的福利制度脱不了关系。	433702	1511	3530	3044	3530	3574	12281	1512	1235
47025389	BV1Hb411776P	1553308234	骁话一下：想进美国名校？送你四种氪金套餐	07:48	美国名校招生丑闻引爆美国社会，名流花钱简历造假，看似破坏教育公平，实则是挑战美国阶级文化。尽管这些名校录取规则隐秘，但归根结底还是靠钱或关系。本期《骁话一下》就来聊聊招生潜规则，顺带分享四种氪金方式。	470043	3241	2733	8140	2736	6746	23983	3241	3452
48393579	BV12b411g74r	1554517804	骁话一下：美国药物滥用危机背后的富豪家族	11:09	目前，药物上瘾是美国人主要死亡原因，甚至超过枪击和交通事故死亡的人数。打击阿片类药物泛滥是美国总统特朗普的施政目标之一，然而，在这背后大发其财的赛克勒家族，不管如何遭到批评，却可以一直风平浪静，无比安全，这是怎么回事儿？本期《骁话一下》，就来和大家聊聊这个出身贫寒，却借着药物泛滥实现“美国梦”的神秘家族。	531453	3004	6248	8748	6250	6156	22973	3004	2201
84884910	BV1h7411Y7DJ	1579919430	骁话一下：故宫里头怎么过年	08:34	2020年的开端充满了各种变数与荒诞，中国人民与世界人民都在面对各种挑战，但俗话说得好，多难兴邦，否极泰来。一个民族只要有苦中作乐的能力，就一定会兴旺繁荣。本期骁话一下我们就不聊沉重的话题，祝大家新年快乐！	258466	565	2220	2914	2220	1765	16787	565	281
90858997	BV137411c7YC	1582363535	骁话一下：散装江苏，有钱人的生活就是这么朴实无华且枯燥	12:25	抗击新冠病毒期间，许多省市都向湖北派出医疗队，江苏省内各市因为没集中从南京出发，各自为战，被网友们戏称为“散装江苏”。江苏省一直以“大内斗省”闻名，苏南苏北互相争就罢了，省会南京还被调侃是安徽省会。到底为什么会这样？本期 #骁话一下# 就聊聊年纪轻轻又有钱的“散装”江苏。	1188166	11592	16754	19386	16759	12787	62635	11593	9692
752863238	BV1kk4y1R7Ha	1586971383	骁话番外：我最懂特朗普 VS 妈最爱纽约州长，怎么抗疫就演成了权斗戏？	05:15	2020是美国大选年，我们也奉上一个新节目专门聊美国新闻。2020年是大选年也是疫情年，没有人能够不受影响。经济对于总统连任很重要，特朗普希望美国人民赶紧复工，但您猜猜他让谁来管这事儿？面对特朗普的乱命，许多州都表示拒不奉诏，甚至弄起了地方联盟，纽约州长甚至直接对特朗普的总统权力提出异议。人心散了，队伍不好带了呀。	1926234	7149	24470	74340	24473	21283	193673	7149	6304
625228717	BV1Kt4y127QQ	1586366078	骁话一下：当美国疫情爆发，每一个美式问题都在勇闯天涯	24:27	新冠疫情在美国已经造成超过40万人确诊，死亡超13000，单单纽约州的疫情就已超过中国。不少中国网民吐槽，为什么美国不抄中国作业。其实不是不想抄，实在是没办法抄，一场疫情把具有美国特色的社会、基层、政治问题全都给炸了出来。纷纷扰扰乱作一团，总统州长互相指责，各州同胞以邻为壑，相爱相杀。难道一场传染病，超级大国露馅了？本期#骁话一下#就让我们聊一聊，被疫情炸出来的美国困境。	2872377	13779	79206	143697	79225	51594	245993	13779	37328
45698210	BV1vb411v7T3	1552098609	骁话一下：从非人待遇到制度迫害，电影《绿皮书》没讲的美国黑人血泪史	07:08	电影《绿皮书》大热，拿下三座奥斯卡小金人，掀起了许多的讨论。不过当年美国的种族冲突可不像电影中那么点到为止，黑人遭到非人对待，甚至面临生命危险，绿皮书对他们来说不单单是本旅行指南，更是本保命指南。本期《骁话一下》就来聊聊这部电影背后的黑人悲惨史。	328246	911	1994	1644	1994	2129	9481	911	542
82609135	BV1pJ411G7V4	1578492958	骁话一下：苏莱曼尼刺杀案背后，是美国伊拉克伊朗哪些恩怨情仇	19:25	当地时间3日凌晨，美军发动无人机空袭，炸死包括伊朗革命卫队圣城部队指挥官苏莱曼尼少将。他的死牵扯动整个中东，苏莱曼尼到底是谁，他的死为什么是大事儿，又牵扯了哪些利益？这其中的矛盾可以一直追溯到第一次世界大战，奥斯曼帝国崩溃，中东各国争夺话事人地位开始。本期《骁话一下》我们就聊聊苏莱曼尼和中东的战国时代。	1145451	4379	14028	38610	14028	18121	68909	4379	9484
36436364	BV1Tt4112787	1542781144	特朗普要砍“出生地公民权”，“美籍宝宝”何去何从？	05:48	近几年来，很多机构在国内推广“赴美生子”项目，天花乱坠地宣传生一个“美籍宝宝”的各种潜在收益。特朗普这段采访一出，那些做这门生意的人就要发愁咯。那么，今天我们就来《骁话一下》，特朗普要砍“出生地公民权”，哪儿来的底气？对赴美生子又有什么影响？	179521	972	602	757	602	1093	5022	972	173
40500072	BV1ot411p79L	1547272819	美国政府又又又停摆，到底会给社会造成怎样的影响？	06:28	恭喜特朗普喜提政府停摆最长记录！此次停摆已是特朗普任内第三次，每当美国政府停摆时，总有一些人会跳出来强调美国制度的优越性，认为美国政府即便停止工作，社会也可以正常运作，事实到底怎样？本期《骁话一下》就来聊聊这件事情。	280175	1551	2180	1897	2180	2051	8045	1551	627
74225645	BV1WE411t78j	1572662005	骁话一下：当年富到让欧洲羡慕的阿根廷，为啥越混越惨	12:05	本周阿根廷总统大选结束，什么？不知道这事儿？瞧瞧，这些红极一时的国家现在连主版都登不上去。当选的人叫阿尔韦托·费尔南德斯，被媒体称为“民粹候选人”。阿根廷曾是南美第一经济大国，甚至吸引了大量欧洲移民，但如今国际政治中越来越边缘化，经济还如同过山车。此前我们讲过巴西和智利，作为所谓南美三大国的ABC里头，只剩A没讲，本期《骁话一下》我们就聊聊阿根廷——一个伪装成国家的食品公司。	1009100	1952	8002	13403	8007	7030	43801	1954	1414
58910149	BV1Gt411L7kb	1562985032	骁话一下：从人间地狱到非洲天堂，卢旺达如何借中国开挂？	09:14	今天的卢旺达已经是非洲发展最好的国家之一，经济繁荣，社会安定，但曾经它却是非洲苦难的代名词，卢旺达大屠杀造成了一百万人死亡。这个国家是如何从悲剧中走出，又是如何借着中国崛起的东风快速发展的呢？今天《骁话一下》就聊聊从苦难到辉煌的卢旺达。	1458641	2616	14820	9083	14820	8984	45389	2616	2549
41046860	BV1ut411a7Hu	1547805111	为什么美国如此警惕墨西哥，特朗普这墙非建不可？	07:34	特朗普政府停摆的原因是为了在美墨边境修建边境隔离墙，这次我们就《骁话一下》，为什么美国的保守派精英如此警惕墨西哥？	532557	2680	4154	6717	4154	5844	16829	2680	1794
57126706	BV1wx411o7QB	1561775413	骁话一下：靠“反华急先锋”博眼球的卢比奥，是真烦中国还是另有所图？	08:53	6月17日美国反华议员卢比奥出损招，呼吁立法不保护华为在美国的专利。在国内的新闻中，卢比奥经常以“反华急先锋”的形象出现在大众面前。他在美国标榜自己是古巴难民后裔和草根运动领袖，他的奋斗之路就是美国梦最好的体现。但事实上，他深谙权钱交易，又非常审时度势，通过不断包装自己求关注，把自己一步步推上了权力舞台的核心圈。今天《骁话一下》我们就讲讲奇人卢比奥干得奇事。	563075	1149	3711	4538	3711	3176	18355	1149	527
54172781	BV1G4411p7hC	1559356226	骁话一下：阿拉巴马州“最严厉反堕胎法”引爆争议，为什么美国总跟这个话题过不去？	08:07	阿拉巴⻢州曾因《阿⽢正传》让人熟知，最近该州议会通过了最严厉的反堕胎法，再次引爆美国社会成为焦点。如今距美国通过第⼀部关于反堕胎的法律，已经过去了⼀百多年，⼈们围绕着宗教，⽣命，经济，医学等各⽅⾯原因激烈争论，甚⾄有⼤量的⼈⾛上街头进⾏抗议。本期《骁话一下》我们就讲讲美国堕胎话题的历史和各⽅观点。	405302	1947	742	3180	742	2500	13961	1947	558
44387536	BV1Yb411h7ET	1550889042	骁话一下：美国进入“国家紧急状态”？基操勿6皆坐	07:19	2月15日，特朗普宣布美国进入国家紧急状态，从而可以调集资金修建他心心念念的边境墙。紧急状态赋予总统巨大权力，这就给了总统滥权的机会，自从有了紧急状态法，美国平均每年要进入紧急状态1.3次，目前依旧生效的紧急状态还有31项。反对者大肆抨击特朗普滥用紧急状态会伤及美国政治根基，但其实这是美国政客咎由自取。	694023	1988	2714	3812	2714	3197	20263	1988	590
45146383	BV1ub411B76Q	1551532850	骁话一下：美国高铁计划黄了，定体问	09:28	加州高铁计划宣布破产，美国升级基础设施的雄心再一次失败。有人说美国不需要铁路，但是发达的铁路曾经是美国名片，先进完善的基础设施彰显美国的强大国力。本期《骁话一下》我们陪你聊聊美国基建衰落的定体问。	575933	3201	3683	3516	3685	3321	15600	3201	758
497924329	BV1HK41157UM	1587782522	骁话一下：文在寅国会大选狂胜，孤胆复仇者如何再造山河？	16:34	韩国国会大选中文在寅党派狂胜，刷新历史记录，这是韩国人民对他领导成功领导抗疫的奖励。韩国总统是高危职业大家都知道，这是因为韩国陈旧的社会文化结构导致的，社会被保守派牢牢控制，韩国百姓生活压力极大，发展已经濒临瓶颈，文在寅舍“生”取义，意图再造河山，他的敌人是谁？本期#骁话一下# 我们就聊聊文在寅的革命之路。	1744947	9088	43565	81914	43614	25829	170209	9099	10014
99291965	BV1v741117Dn	1585139944	骁话一下：努力了60多年，为什么一个疫情就能让欧盟窝里斗？	13:21	疫情发生至今，欧洲已成为重灾区，意大利死亡人数超中国，欧洲地区确诊人数超过亚洲。我们屡屡看到欧洲国家抢劫物资，以邻为壑的新闻。欧洲一体化的进程从二战以后就在不断推动，到今天都69年了，但是为什么统一却举步维艰？本期#骁话一下#我们就聊聊面对疫情，欧洲为何一触即溃。	2965995	8180	42019	168090	42024	47140	288749	8180	13072
69175775	BV1FJ411M73p	1569637807	骁话一下：一穷二白意外频发，70年前的革命者如何成功操办开国大典	10:40	今年是新中国成立70周年，随着国力不断提升，每次十年大庆都已经成为展示国力的最佳时机，每一次阅兵都是我军先进装备的展示台。可70年前，为了“开国大典”，一穷二白的革命者们绞尽脑汁。做国旗的黄绸缎不够就精工拼接，烟花没有就信号弹顶上，飞机不够就飞两趟，现在看来轻而易举的事情，当时都能难倒英雄汉。本期《骁话一下》就聊聊开国大典背后的点滴。	633106	404	929	17168	929	6890	37919	404	2827
33614140	BV1at411f7Mi	1539249155	“娘炮国家”的事儿，美国都吵到这个层面了	07:38	在美国，“娘炮”含义不局限于长相外貌，美国人认为不敢竞争，玻璃心，怕受伤才是“娘炮”表现。今天《骁话一下》通过4个小故事，聊聊这档子事儿。	324776	3409	4751	2447	4753	3358	7779	3409	1101
64695280	BV1z4411d7G3	1566371815	骁话一下：外国人在香港司法系统中有多少权力？	10:23	每当香港发生不稳定，总有一部分法律界人士，举着“司法独立”跳出来推波助澜，但这些野心家索要的是一种全世界任何国家都不存在的“司法独立”，其目的也是司马昭之心。本期《骁话一下》我们就聊聊，外国人在香港司法系统中有多少权力。	603809	1947	3886	10595	3886	7558	30371	1948	5143
76681238	BV1YJ411d73U	1574477443	骁话一下：朝秦暮楚的斯里兰卡，发展还得靠中国指条路	12:11	说到斯里兰卡这个国家，大家会想到什么？锡兰红茶？旅游胜地？但是你知不知道这个国家和中国还有着一段别样的关系。它曾受帝国主义压迫，内战生灵涂炭，在中国的协助下得到了和平和发展，但是又突然翻脸。现在新总统上任，承诺恢复同中国的关系。小小的斯里兰卡映射了一带一路上，中国要面对的大量挑战，也呼唤我们坚定决心，将繁荣与发展带向世界。本期《骁话一下》我们就聊聊斯里兰卡走华容道，还是需要中国给条路。	600001	1696	8957	14699	8957	5261	34746	1696	826
42946631	BV1Jb41167Fs	1549609696	骁话一下：白宫动物园，了解一下～	05:36	今天，我们一起来观察一下白宫里的动物们！	170337	371	871	933	871	997	6630	371	135
91900795	BV1h7411K7kh	1582714913	骁话一下：每百人6个被忽悠，引爆韩国疫情的奇葩邪教，为何如此猖獗？	16:17	截至视频发布，韩国累计确诊1146例，其中56%和邪教聚会有关，甚至曝出大邱市西区预防感染工作负责人就是邪教信徒，说他们谋财害命毫不为过。但为什么韩国邪教这么繁荣？整个社会如此狂热，甚至能把总统拉下水？本期《骁话一下》就聊聊韩国的邪教。	2235063	9202	50361	70243	50372	27248	145920	9202	33113
83951755	BV1S7411i7Sr	1579330289	骁话一下：俄政府全体辞职，这是普京在下什么棋？	12:55	15日，普京发完国情咨文，俄罗斯总理梅德韦杰夫就宣布内阁总辞，再之后普京提名米舒斯金出任总理。这一顿操作，直接给中国观众看懵了，甚至喜提热搜。也难怪，平时咱们关注更多的是俄罗斯铁血外交，其内政关心甚少。到今年，普京已经领导俄罗斯达20年，此时做出变革意欲何为，如何解读？本期#骁话一下#就聊聊普京的后普京时代布局。	567041	1738	7225	11975	7228	6034	36135	1739	2604
92658669	BV1vE411J75C	1582981012	骁话一下：面对疫情日本为什么不取消奥运？带你算算政治经济社会三本账	13:06	《骁话一下》第73期，聊聊日本为什么对疫情装聋作哑，对奥运全力出击。 日本花了7年斥巨资筹备奥运会，经历了各种丑闻与风波，总算熬到倒计时上。相比疫情，日本的社会与经济问题更为严峻，如果奥运会取消那可不只是钱打了水漂这么简单。	1743317	5833	26531	42065	26534	17400	114799	5833	14091
73340585	BV1HE41117Ls	1571990097	编辑部的日常：观网节目制作大揭秘！	06:48	近期观察者网将会陆续上线一批新节目，除了已经在播的《骁话一下》、《快来康康》、《懂点啥》。席亚洲以及施佬的新节目也在紧张筹备中，未来将会形成一个完整的节目矩阵，为大家提供不同类型的视听体验。	124783	323	821	1241	831	625	9722	324	146
